39.6	  -35
46.2	  -32
57.2	  -44
57.6	  -38
58.5	  -43
71.5	  -43
72.8	  -43
85.8	  -42
87.1	  -42
87.6	  -41
88.8	  -41
90.0	  -40
90.0	  -41
91.2	  -37
91.2	  -38
91.2	  -39
92.4	  -34
92.4	  -35
92.4	  -36
92.4	  -37
92.4	  -38
92.4	  -39
93.5	  -32
93.6	  -36
93.6	  -37
94.6	  -34
94.8	  -36
94.8	  -37
96.8	  -30
99.0	  -31
103.2	  -38
103.2	  -39
103.4	  -31
103.4	  -32
104.4	  -39
104.5	  -31
105.6	  -31
106.8	  -37
108.0	  -52
109.5	  -51
110.4	  -41
111.0	  -50
122.2	  -46
127.2	  -70
127.4	  -47
129.6	  -69
131.3	  -46
132.6	  -46
133.9	  -45
139.2	  -66
144.0	  -51
145.2	  -39
145.5	  -49
146.4	  -39
147.0	  -50
148.5	  -50
148.8	  -38
151.2	  -36
151.2	  -38
152.4	  -37
152.4	  -39
153.6	  -40
155.1	  -34
158.4	  -33
158.4	  -34
159.5	  -31
159.5	  -33
159.5	  -34
159.5	  -35
160.0	  -32
160.6	  -35
161.2	  -46
161.7	  -30
161.7	  -32
161.7	  -33
162.5	  -44
162.5	  -47
166.4	  -44
166.4	  -45
166.4	  -47
166.8	  -38
167.7	  -44
167.7	  -46
168.0	  -38
169.0	  -43
169.0	  -46
170.3	  -42
170.3	  -43
170.3	  -44
170.4	  -36
170.4	  -37
170.4	  -38
170.5	  -33
171.6	  -36
171.6	  -37
171.6	  -38
171.6	  -42
172.8	  -37
172.8	  -40
173.8	  -34
175.2	  -39
176.0	  -31
176.4	  -36
176.4	  -37
176.4	  -38
176.4	  -39
177.6	  -38
177.6	  -39
178.8	  -37
178.8	  -40
181.5	  -31
182.6	  -30
182.6	  -31
184.8	  -31
184.8	  -32
184.8	  -35
185.9	  -32
185.9	  -33
185.9	  -34
187.0	  -32
187.0	  -33
188.4	  -36
189.6	  -36
189.6	  -37
190.8	  -39
190.8	  -40
192.1	  -55
202.4	  -31
203.5	  -30
210.0	  -36
210.0	  -37
211.2	  -36
211.2	  -37
123.2	  30
124.3	  30
123.2	  31
124.3	  31
141.9	  35
4.800	  36
6.000	  36
153.6	  36
4.800	  37
6.000	  37
10.80	  37
147.6	  37
153.6	  37
142.8	  38
148.8	  38
14.40	  39
148.8	  39
150.0	  39
146.4	  40
147.6	  40
146.4	  41
136.5	  43
37.70	  45
